month,2023,2024,2025,2026
Jan,1148665.36,1534200.89,1505656.12,1788925.0
Feb,1755876.5,1394613.56,1224642.19,1616972.64
Mar,1269029.0,1413980.0,1298664.65,1844232.83
Apr,1203541.88,1398034.86,1723090.49,1411610.0
May,1360906.76,1364387.0,1292092.84,0.0
Jun,1185292.53,875041.0,1247239.44,0.0
Jul,1078425.78,1217940.23,1473034.6,0.0
Aug,1522674.59,1313173.89,1840075.0,0.0
Sep,1486509.22,1199310.89,1464824.46,0.0
Oct,1348731.13,1491691.56,1297006.07,0.0
Nov,921735.45,869592.5,1346087.76,0.0
Dec,949464.44,1220099.0,1391293.77,0.0
Total,15230852.639999999,15292065.38,17103707.39,6661740.47
