period_sort,period,comparison_label,std_budget,raw_inbound_records,valid_leads,assigned_leads,active_leads,stage_qualified_leads,stage_or_booked_qualified_leads,valid_marketing_expected_lead_value,budget_order,period_valid_leads,period_assigned_leads,period_active_leads,period_stage_qualified_leads,period_valid_marketing_expected_lead_value,valid_lead_share,assigned_lead_share,active_lead_share,stage_qualified_lead_share,valid_expected_value_share
1,Current May 1-20 2026,current,I am looking for Talent to donate their time,511,0,0,0,0,0,0.0,1,862,691,152,316,425071.52,0.0,0.0,0.0,0.0,0.0
1,Current May 1-20 2026,current,"$5,000 or less",542,1,0,0,0,0,2.6,2,862,691,152,316,425071.52,0.001160092807424594,0.0,0.0,0.0,6.1166177399982005e-06
1,Current May 1-20 2026,current,"$5,000 - $10,000",301,157,132,30,53,53,34197.46,3,862,691,152,316,425071.52,0.18213457076566125,0.191027496382055,0.19736842105263158,0.16772151898734178,0.08045107326879956
1,Current May 1-20 2026,current,"$10,000 - $20,000",565,130,113,26,54,54,57816.36,4,862,691,152,316,425071.52,0.15081206496519722,0.16353111432706222,0.17105263157894737,0.17088607594936708,0.13601560509158553
1,Current May 1-20 2026,current,"$20,000 - $30,000",263,76,68,10,43,43,51112.28,5,862,691,152,316,425071.52,0.08816705336426914,0.09840810419681621,0.06578947368421052,0.1360759493670886,0.12024395329990585
1,Current May 1-20 2026,current,"$30,000 - $50,000",211,79,57,10,24,24,73916.15000000001,6,862,691,152,316,425071.52,0.09164733178654293,0.0824891461649783,0.06578947368421052,0.0759493670886076,0.17389109013937232
1,Current May 1-20 2026,current,"$50,000 - $100,000",116,66,48,11,25,25,48947.219999999994,7,862,691,152,316,425071.52,0.0765661252900232,0.0694645441389291,0.07236842105263158,0.07911392405063292,0.11515055160599795
1,Current May 1-20 2026,current,"$100,000 and above",249,59,40,10,14,14,50830.18,8,862,691,152,316,425071.52,0.06844547563805105,0.05788712011577424,0.06578947368421052,0.04430379746835443,0.11958030027511606
1,Current May 1-20 2026,current,"I have a budget, but I am unsure of what it is",517,271,210,52,89,89,103849.49,9,862,691,152,316,425071.52,0.314385150812065,0.30390738060781475,0.34210526315789475,0.28164556962025317,0.24431062800914066
1,Current May 1-20 2026,current,Unknown,28,23,23,3,14,16,4399.780000000001,10,862,691,152,316,425071.52,0.02668213457076566,0.03328509406657019,0.019736842105263157,0.04430379746835443,0.010350681692342033
