period_sort,period,comparison_label,lead_origin,ad_presence,raw_inbound_records,valid_leads,assigned_leads,active_leads,stage_qualified_leads,stage_or_booked_qualified_leads,valid_marketing_expected_lead_value,source_segment,period_valid_leads,period_assigned_leads,period_active_leads,period_stage_qualified_leads,period_valid_marketing_expected_lead_value,valid_lead_share,assigned_lead_share,active_lead_share,stage_qualified_lead_share,valid_expected_value_share,source_order
1,Current May 1-20 2026,current,allamericanspeakers.com,non-ad,1931,380,304,70,124,124,195696.58,allamericanspeakers.com / non-ad,862,691,152,316,425071.52,0.4408352668213457,0.4399421128798842,0.4605263157894737,0.3924050632911392,0.4603850664942219,1
2,Prior 20 days Apr 11-30 2026,prior_20_days,allamericanspeakers.com,non-ad,3888,346,293,5,144,144,171301.22,allamericanspeakers.com / non-ad,880,753,8,407,409657.79,0.3931818181818182,0.3891102257636122,0.625,0.3538083538083538,0.41815687186126743,1
3,Last year May 1-20 2025,last_year_same_dates,allamericanspeakers.com,non-ad,1298,370,307,0,179,179,194708.58000000002,allamericanspeakers.com / non-ad,747,622,0,385,369348.13,0.49531459170013387,0.49356913183279744,0.0,0.4649350649350649,0.5271681759969924,1
1,Current May 1-20 2026,current,aaespeakers.com,non-ad,513,215,173,38,91,91,107924.14,aaespeakers.com / non-ad,862,691,152,316,425071.52,0.2494199535962877,0.2503617945007236,0.25,0.2879746835443038,0.2538964266530959,2
2,Prior 20 days Apr 11-30 2026,prior_20_days,aaespeakers.com,non-ad,526,251,216,1,119,119,116673.76,aaespeakers.com / non-ad,880,753,8,407,409657.79,0.2852272727272727,0.2868525896414343,0.125,0.29238329238329236,0.2848078636561507,2
3,Last year May 1-20 2025,last_year_same_dates,aaespeakers.com,non-ad,379,181,147,0,96,96,101506.71,aaespeakers.com / non-ad,747,622,0,385,369348.13,0.24230254350736277,0.23633440514469453,0.0,0.24935064935064935,0.274826652026098,2
1,Current May 1-20 2026,current,aaespeakers.com,ad,188,124,110,23,56,56,64966.76,aaespeakers.com / ad,862,691,152,316,425071.52,0.14385150812064965,0.15918958031837915,0.1513157894736842,0.17721518987341772,0.1528372448946944,3
2,Prior 20 days Apr 11-30 2026,prior_20_days,aaespeakers.com,ad,193,118,104,1,70,70,59543.8,aaespeakers.com / ad,880,753,8,407,409657.79,0.1340909090909091,0.13811420982735723,0.125,0.171990171990172,0.14535009818805106,3
3,Last year May 1-20 2025,last_year_same_dates,aaespeakers.com,ad,35,18,18,0,11,11,9816.16,aaespeakers.com / ad,747,622,0,385,369348.13,0.024096385542168676,0.028938906752411574,0.0,0.02857142857142857,0.026576985783033476,3
1,Current May 1-20 2026,current,allamericanspeakers.com,ad,211,80,58,15,25,25,43501.77,allamericanspeakers.com / ad,862,691,152,316,425071.52,0.09280742459396751,0.08393632416787265,0.09868421052631579,0.07911392405063292,0.10233988388589288,4
