source_segment,lead_origin,ad_presence,source_order,current_raw_inbound_records,current_valid_leads,current_assigned_leads,current_active_leads,current_stage_qualified_leads,current_valid_marketing_expected_lead_value,current_valid_lead_share,current_assigned_lead_share,current_active_lead_share,current_stage_qualified_lead_share,current_valid_expected_value_share,baseline_raw_inbound_records,baseline_valid_leads,baseline_assigned_leads,baseline_active_leads,baseline_stage_qualified_leads,baseline_valid_marketing_expected_lead_value,baseline_valid_lead_share,baseline_assigned_lead_share,baseline_active_lead_share,baseline_stage_qualified_lead_share,baseline_valid_expected_value_share,comparison_label,delta_raw_inbound_records,pct_delta_raw_inbound_records,delta_valid_leads,pct_delta_valid_leads,delta_assigned_leads,pct_delta_assigned_leads,delta_active_leads,pct_delta_active_leads,delta_stage_qualified_leads,pct_delta_stage_qualified_leads,delta_valid_marketing_expected_lead_value,pct_delta_valid_marketing_expected_lead_value,delta_valid_lead_share,pct_delta_valid_lead_share,delta_assigned_lead_share,pct_delta_assigned_lead_share,delta_active_lead_share,pct_delta_active_lead_share,delta_stage_qualified_lead_share,pct_delta_stage_qualified_lead_share,delta_valid_expected_value_share,pct_delta_valid_expected_value_share
allamericanspeakers.com / non-ad,allamericanspeakers.com,non-ad,1,1931.0,380,304,70,124,195696.58,0.4408352668213457,0.4399421128798842,0.4605263157894737,0.3924050632911392,0.4603850664942219,1298.0,370,307,0,179,194708.58000000002,0.49531459170013387,0.49356913183279744,0.0,0.4649350649350649,0.5271681759969924,last_year_same_dates,633.0,0.4876733436055469,10,0.027027027027026973,-3,-0.009771986970684043,70,0.0,-55,-0.3072625698324022,987.9999999999709,0.005074249938035402,-0.05447932487878815,-0.10998933968771551,-0.05362701895291322,-0.10865148465378505,0.4605263157894737,0.0,-0.0725300016439257,-0.15600028286542678,-0.0667831095027705,-0.12668274099905363
aaespeakers.com / non-ad,aaespeakers.com,non-ad,2,513.0,215,173,38,91,107924.14,0.2494199535962877,0.2503617945007236,0.25,0.2879746835443038,0.2538964266530959,379.0,181,147,0,96,101506.71,0.24230254350736277,0.23633440514469453,0.0,0.24935064935064935,0.274826652026098,last_year_same_dates,134.0,0.35356200527704496,34,0.18784530386740328,26,0.1768707482993197,38,0.0,-5,-0.05208333333333337,6417.429999999993,0.06322173184413127,0.007117410088924941,0.029374062632193,0.014027389356029069,0.059353987615306636,0.25,0.0,0.03862403419365443,0.15489847046413496,-0.020930225373002098,-0.0761579170677178
aaespeakers.com / ad,aaespeakers.com,ad,3,188.0,124,110,23,56,64966.76,0.14385150812064965,0.15918958031837915,0.1513157894736842,0.17721518987341772,0.1528372448946944,35.0,18,18,0,11,9816.16,0.024096385542168676,0.028938906752411574,0.0,0.02857142857142857,0.026576985783033476,last_year_same_dates,153.0,4.371428571428571,106,5.888888888888889,92,5.111111111111111,23,0.0,45,4.090909090909091,55150.600000000006,5.618347704193901,0.11975512257848098,4.96983758700696,0.1302506735659676,4.500884386557324,0.1513157894736842,0.0,0.14864376130198914,5.2025316455696204,0.12626025911166094,4.750736601299024
allamericanspeakers.com / ad,allamericanspeakers.com,ad,4,211.0,80,58,15,25,43501.77,0.09280742459396751,0.08393632416787265,0.09868421052631579,0.07911392405063292,0.10233988388589288,189.0,98,80,0,60,51164.99,0.13119143239625167,0.12861736334405144,0.0,0.15584415584415584,0.13852781656157295,last_year_same_dates,22.0,0.1164021164021165,-18,-0.18367346938775508,-22,-0.275,15,0.0,-35,-0.5833333333333333,-7663.220000000001,-0.149774679912964,-0.038384007802284154,-0.29258014110516595,-0.044681039176178786,-0.3473950795947901,0.09868421052631579,0.0,-0.07673023179352292,-0.4923523206751055,-0.03618793267568007,-0.26123224615754503
aaemusic.com / non-ad,aaemusic.com,non-ad,5,403.0,24,12,2,3,0.0,0.027842227378190254,0.017366136034732273,0.013157894736842105,0.00949367088607595,0.0,468.0,46,42,0,22,0.0,0.06157965194109773,0.06752411575562701,0.0,0.05714285714285714,0.0,last_year_same_dates,-65.0,-0.13888888888888884,-22,-0.4782608695652174,-30,-0.7142857142857143,2,0.0,-19,-0.8636363636363636,0.0,0.0,-0.03373742456290747,-0.547866438010693,-0.05015797972089474,-0.742815794914203,0.013157894736842105,0.0,-0.04764918625678119,-0.8338607594936709,0.0,0.0
phone_lead / non-ad,phone_lead,non-ad,6,19.0,19,16,3,6,10257.5,0.022041763341067284,0.023154848046309694,0.019736842105263157,0.0189873417721519,0.024131233256935208,20.0,20,15,0,5,12151.69,0.02677376171352075,0.024115755627009645,0.0,0.012987012987012988,0.03290036963230327,last_year_same_dates,-1.0,-0.050000000000000044,-1,-0.050000000000000044,1,0.06666666666666665,3,0.0,1,0.19999999999999996,-1894.1900000000005,-0.15587872962526206,-0.004731998372453465,-0.17674013921113696,-0.0009609075806999504,-0.039845634346357905,0.019736842105263157,0.0,0.0060003287851389114,0.4620253164556962,-0.008769136375368063,-0.26653610501561276
Unknown / non-ad,Unknown,non-ad,7,12.0,12,12,0,8,0.0,0.013921113689095127,0.017366136034732273,0.0,0.02531645569620253,0.0,12.0,12,12,0,12,0.0,0.01606425702811245,0.01929260450160772,0.0,0.03116883116883117,0.0,last_year_same_dates,0.0,0.0,0,0.0,0,0.0,0,0.0,-4,-0.33333333333333337,0.0,0.0,-0.0021431433390173213,-0.13341067285382824,-0.0019264684668754452,-0.09985528219971052,0.0,0.0,-0.0058523754726286376,-0.18776371308016881,0.0,0.0
speakersearch.com / non-ad,speakersearch.com,non-ad,8,19.0,7,5,1,3,2507.08,0.008120649651972157,0.00723589001447178,0.006578947368421052,0.00949367088607595,0.005898019232151803,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,last_year_same_dates,19.0,0.0,7,0.0,5,0.0,1,0.0,3,0.0,2507.08,0.0,0.008120649651972157,0.0,0.00723589001447178,0.0,0.006578947368421052,0.0,0.00949367088607595,0.0,0.005898019232151803,0.0
speakersearch.com / ad,speakersearch.com,ad,9,7.0,1,1,0,0,217.69,0.001160092807424594,0.001447178002894356,0.0,0.0,0.0005121255830077724,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,last_year_same_dates,7.0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,217.69,0.0,0.001160092807424594,0.0,0.001447178002894356,0.0,0.0,0.0,0.0,0.0,0.0005121255830077724,0.0
speakerpedia.com / non-ad,Unknown,Unknown,9999,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2,1,0,0,0.0,0.002677376171352075,0.001607717041800643,0.0,0.0,0.0,last_year_same_dates,-13.0,-1.0,-2,-1.0,-1,-1.0,0,0.0,0,0.0,0.0,0.0,-0.002677376171352075,-1.0,-0.001607717041800643,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
